,age,gender,occupation_college,occupation_executive,occupation_other,occupation_technician,Comedy,Drama,Action,Thriller,Sci-Fi
0,16,0,0,0,0,0,3.1223788619638757,3.5764711490919674,3.066447601386116,3.5833820236195617,3.1337658131035893
1,16,0,0,0,0,1,3.0438619869822268,3.2059390909008436,3.232727084141454,3.5833820236195617,3.1337658131035893
2,16,0,0,0,1,0,3.7664405728840866,3.910281058909233,3.3366233882658918,3.717603126798265,3.160267962079299
3,16,0,0,0,1,1,3.6879236979024377,3.3314632263584008,3.345232812363538,3.717603126798265,3.160267962079299
4,16,0,0,1,0,0,3.3773402293113954,3.6498883258057937,3.039056000631844,3.92363505733147,3.1337658131035893
5,16,0,0,1,0,1,3.2988233543297465,3.2738709599964384,3.2053354833871817,3.92363505733147,3.1337658131035893
6,16,0,0,1,1,0,3.7027857477364248,3.8909074920699918,3.3229899467336184,3.928139473329351,3.160267962079299
7,16,0,0,1,1,1,3.624268872754776,3.306604351900928,3.3315993708312646,3.928139473329351,3.160267962079299
8,16,0,1,0,0,0,3.1434776817708587,3.7359751399598093,3.058103021547832,3.444287123418655,3.13697990768657
9,16,0,1,0,0,1,3.1091463058319286,3.299929606821702,3.2243825043031697,3.444287123418655,3.13697990768657
10,16,0,1,0,1,0,3.720778250600962,3.9310814968968244,3.3130310944708317,3.611044239064689,3.13697990768657
11,16,0,1,0,1,1,3.686446874662032,3.3345688831318094,3.321640518568478,3.611044239064689,3.13697990768657
12,16,0,1,1,0,0,3.2704730662631056,3.7614657595398127,3.0307114207935597,3.7845401571305635,3.13697990768657
13,16,0,1,1,0,1,3.2361416903241755,3.325420226401705,3.1969909035488975,3.7845401571305635,3.13697990768657
14,16,0,1,1,1,0,3.5958303077297313,3.8881536885763013,3.2993976529385582,3.821580585595775,3.13697990768657
15,16,0,1,1,1,1,3.5614989317908012,3.2916410748112863,3.3080070770362044,3.821580585595775,3.13697990768657
16,16,1,0,0,0,0,3.4841393825139844,3.4150828659757777,2.9711627216261305,3.202478706059968,3.1337658131035893
17,16,1,0,0,0,1,3.4056225075323354,3.044550807784654,3.1489641115924205,3.202478706059968,3.1337658131035893
18,16,1,0,0,1,0,3.7787891318887437,3.7292962929073323,3.2236847781855014,3.254247367295142,3.160267962079299
19,16,1,0,0,1,1,3.7002722569070947,3.1504784603565,3.2438161094941,3.254247367295142,3.160267962079299
20,16,1,0,1,0,0,3.479398620009768,3.3260322961100264,2.8867282760904995,3.7201981650486933,3.1337658131035893
21,16,1,0,1,0,1,3.4008817450281192,2.950014930300671,3.0645296660567896,3.7201981650486933,3.1337658131035893
22,16,1,0,1,1,0,3.661983891596277,3.61587340738904,3.170662222192274,3.642250139103045,3.160267962079299
23,16,1,0,1,1,1,3.583467016614628,3.0315702672199762,3.1907935535008725,3.642250139103045,3.160267962079299
24,16,1,1,0,0,0,3.4820830322793532,3.5340246725986395,3.031532477049609,3.1187020035757094,3.13697990768657
25,16,1,1,0,0,1,3.447751656340423,3.097979139460532,3.197811959804947,3.1187020035757094,3.13697990768657
26,16,1,1,0,1,0,3.6931799427844227,3.7095345466499436,3.268806819652204,3.203006677278214,3.13697990768657
27,16,1,1,0,1,1,3.6588485668454926,3.1130219328849287,3.27741624374985,3.203006677278214,3.13697990768657
28,16,1,1,1,0,0,3.403477930763569,3.4376097298440453,2.947098031513978,3.6364214625644347,3.13697990768657
29,16,1,1,1,0,1,3.369146554824639,3.001564196705938,3.113377514269316,3.6364214625644347,3.13697990768657
30,16,1,1,1,1,0,3.569183228612092,3.6131196038953495,3.2157842636589766,3.591009449086117,3.13697990768657
31,16,1,1,1,1,1,3.534851852673162,3.0166069901303345,3.224393687756623,3.591009449086117,3.13697990768657
32,17,0,0,0,0,0,3.1223788619638757,3.5764711490919674,3.066447601386116,3.5833820236195617,3.1337658131035893
